Image,Area,Length,Width
0001.jpg,1414.25,44.887753295898435,33.67796936035156
0002.jpg,1331.95,45.1,33.6
0003.jpg,1144.86,45.366921997070314,32.09092407226562
0004.jpg,1113.405,46.099176025390626,31.84449462890625
0005.jpg,1465.84,45.564694213867185,33.164224243164064
0006.jpg,1364.525,44.104217529296875,33.77569580078125
0007.jpg,1423.835,45.1,33.6
0008.jpg,1126.44,47.3875244140625,30.888189697265624
0009.jpg,1125.0,45.55149841308594,32.351541137695314
0010.jpg,1337.655,43.93997802734375,33.287109375
0011.jpg,1399.47,45.1,33.6
0012.jpg,1351.34,44.83828430175781,33.513946533203125
0013.jpg,1330.23,43.554046630859375,32.57071228027344
0014.jpg,1369.2,44.86873779296875,33.71383056640625
0015.jpg,1123.39,45.96007080078125,32.476950073242186
0016.jpg,1225.16,45.1,33.6
0017.jpg,1196.545,45.10513610839844,33.347634887695314
0018.jpg,1465.84,45.564694213867185,33.164224243164064
0019.jpg,1212.695,44.63754577636719,33.66549377441406
0020.jpg,1362.775,45.1,33.6
0021.jpg,1089.71,45.29640502929688,32.48497314453125
0022.jpg,764.685,45.0,33.5
0023.jpg,1424.05,45.1,33.6
0024.jpg,1219.685,43.76895446777344,32.84597473144531
0025.jpg,1110.3,44.542120361328124,30.662380981445313
0026.jpg,1147.98,46.314248657226564,32.59062805175781
0027.jpg,764.685,45.0,33.5
0028.jpg,1348.79,44.94164123535156,32.86355895996094
0029.jpg,1503.415,45.1,33.6
0030.jpg,1494.67,45.1,33.6
0031.jpg,1109.08,47.81401062011719,28.533627319335938
0032.jpg,1513.96,45.1,33.6
0033.jpg,1447.25,45.75828857421875,32.260031127929686
0034.jpg,1423.555,45.36455383300781,33.185247802734374
0035.jpg,1346.105,45.0,33.6
0036.jpg,1081.64,45.79745178222656,32.84972229003906
0037.jpg,1510.275,45.09999389648438,33.59999389648438
0038.jpg,1107.6,45.1,33.6
0039.jpg,1491.78,45.1,33.6
0040.jpg,1047.825,45.14849853515625,33.451422119140624
0041.jpg,1245.815,44.94992370605469,32.5363525390625
0042.jpg,1020.965,40.578164672851564,36.30616149902344
0043.jpg,1107.6,45.1,33.6
0044.jpg,1058.13,46.39757080078125,30.9652587890625
0045.jpg,1048.565,45.09999389648438,33.499993896484376
0046.jpg,1222.37,48.19844970703125,30.443951416015626
0047.jpg,1373.935,44.9175048828125,33.68655090332031
0048.jpg,950.805,38.818887329101564,34.166754150390624
0049.jpg,1465.84,45.564694213867185,33.164224243164064
0050.jpg,1478.595,45.09999389648438,33.59999389648438
0051.jpg,1317.245,45.1,33.6
0052.jpg,1155.72,42.145318603515626,32.44932250976562
0053.jpg,1120.84,45.365579223632814,32.251470947265624
0054.jpg,1337.655,43.93997802734375,33.287109375
0055.jpg,1423.835,45.1,33.6
0056.jpg,1268.97,45.09999389648438,33.59999389648438
0057.jpg,1453.44,45.1,33.6
0058.jpg,1491.78,45.1,33.6
0059.jpg,1476.71,45.12467651367187,33.30751342773438
0060.jpg,1321.19,45.02644348144531,33.03309326171875
0061.jpg,1219.685,43.76895446777344,32.84597473144531
0062.jpg,1448.46,44.921932983398435,33.07026062011719
