Image Name,Edge Pixel Count
0001.jpg,1552
0002.jpg,1439
0003.jpg,1422
0004.jpg,1468
0005.jpg,1530
0006.jpg,1511
0007.jpg,1622
0008.jpg,1400
0009.jpg,1456
0010.jpg,1487
0011.jpg,1502
0012.jpg,1489
0013.jpg,1465
0014.jpg,1472
0015.jpg,1516
0016.jpg,1436
0017.jpg,1681
0018.jpg,1530
0019.jpg,1387
0020.jpg,1566
0021.jpg,1297
0022.jpg,1240
0023.jpg,1621
0024.jpg,1414
0025.jpg,1436
0026.jpg,1337
0027.jpg,1240
0028.jpg,1487
0029.jpg,1573
0030.jpg,1565
0031.jpg,1369
0032.jpg,1573
0033.jpg,1541
0034.jpg,1514
0035.jpg,1559
0036.jpg,1443
0037.jpg,1572
0038.jpg,1339
0039.jpg,1560
0040.jpg,1449
0041.jpg,1489
0042.jpg,1381
0043.jpg,1339
0044.jpg,1284
0045.jpg,1451
0046.jpg,1500
0047.jpg,1501
0048.jpg,1517
0049.jpg,1530
0050.jpg,1552
0051.jpg,1560
0052.jpg,1374
0053.jpg,1449
0054.jpg,1487
0055.jpg,1622
0056.jpg,1476
0057.jpg,1531
0058.jpg,1560
0059.jpg,1554
0060.jpg,1455
0061.jpg,1414
0062.jpg,1535
0063.jpg,1500
0064.jpg,1500
0065.jpg,1436
0066.jpg,1565
0067.jpg,1535
0068.jpg,1453
0069.jpg,1473
0070.jpg,1473
0071.jpg,1439
0072.jpg,1502
0073.jpg,1436
0074.jpg,1576
0075.jpg,1557
0076.jpg,1553
0077.jpg,1524
0078.jpg,1297
0079.jpg,1530
0080.jpg,1622
0081.jpg,1451
0082.jpg,1449
0083.jpg,1501
0084.jpg,1517
0085.jpg,1573
0086.jpg,1622
0087.jpg,1511
0088.jpg,1492
0089.jpg,1339
0090.jpg,1502
0091.jpg,1240
0092.jpg,1423
0093.jpg,1487
0094.jpg,1456
0095.jpg,1565
0096.jpg,1524
0097.jpg,1420
0098.jpg,1449
0099.jpg,1382
0100.jpg,1572
0101.jpg,1535
0102.jpg,1457
0103.jpg,1502
0104.jpg,1569
0105.jpg,1539
0106.jpg,1472
0107.jpg,1414
0108.jpg,1622
0109.jpg,1575
0110.jpg,1443
0111.jpg,1534
0112.jpg,1523
0113.jpg,1519
0114.jpg,1561
0115.jpg,1554
0116.jpg,1642
0117.jpg,1476
0118.jpg,1623
0119.jpg,1553
0120.jpg,1449
0121.jpg,1541
0122.jpg,1468
0123.jpg,1565
0124.jpg,1455
0125.jpg,1517
0126.jpg,1495
0127.jpg,1622
0128.jpg,1436
0129.jpg,1437
0130.jpg,1560
0131.jpg,1418
0132.jpg,1487
0133.jpg,1436
0134.jpg,1467
0135.jpg,1559
0136.jpg,1566
0137.jpg,1422
0138.jpg,1387
0139.jpg,1443
0140.jpg,1567
0141.jpg,1487
0142.jpg,1392
0143.jpg,1511
0144.jpg,1568
0145.jpg,1575
0146.jpg,1565
0147.jpg,1500
0148.jpg,1483
0149.jpg,1553
0150.jpg,1456
0151.jpg,1559
0152.jpg,1454
0153.jpg,1339
0154.jpg,1559
0155.jpg,1530
0156.jpg,1554
0157.jpg,1566
0158.jpg,1511
0159.jpg,1502
0160.jpg,1418
0161.jpg,1468
0162.jpg,1561
0163.jpg,1374
0164.jpg,1502
0165.jpg,1462
0166.jpg,1575
0167.jpg,1566
0168.jpg,1511
0169.jpg,1423
0170.jpg,1621
0171.jpg,1317
0172.jpg,1414
0173.jpg,1462
0174.jpg,1573
0175.jpg,1454
0176.jpg,1436
0177.jpg,1424
0178.jpg,1317
0179.jpg,1443
0180.jpg,1398
0181.jpg,1576
0182.jpg,1337
0183.jpg,1681
0184.jpg,1443
0185.jpg,1681
0186.jpg,1449
0187.jpg,1398
0188.jpg,1414
0189.jpg,1443
0190.jpg,1681
0191.jpg,1420
0192.jpg,1623
0193.jpg,1560
0194.jpg,1297
0195.jpg,1517
0196.jpg,1437
0197.jpg,1449
0198.jpg,1560
0199.jpg,1566
0200.jpg,1535
0201.jpg,1622
0202.jpg,1339
0203.jpg,1470
0204.jpg,1549
0205.jpg,1414
0206.jpg,1339
0207.jpg,1569
0208.jpg,1572
0209.jpg,1548
0210.jpg,1565
0211.jpg,1498
0212.jpg,1485
0213.jpg,1457
0214.jpg,1382
0215.jpg,1374
0216.jpg,1483
0217.jpg,1418
0218.jpg,1572
0219.jpg,1500
0220.jpg,1451
0221.jpg,1552
0222.jpg,1414
0223.jpg,1621
0224.jpg,1523
0225.jpg,1451
0226.jpg,1495
