Picture,Edge Pixels,Complex_vert,complex
0001.jpg,1552,329,95.5
0002.jpg,1439,733,232.0
0003.jpg,1422,1081,391.0
0004.jpg,1468,873,303.5
0005.jpg,1530,321,75.5
0006.jpg,1511,664,232.0
0007.jpg,1622,598,281.5
0008.jpg,1400,890,307.5
0009.jpg,1456,1182,459.5
0010.jpg,1487,649,214.5
0011.jpg,1502,414,123.5
0012.jpg,1489,585,222.0
0013.jpg,1465,602,198.0
0014.jpg,1472,449,126.0
0015.jpg,1516,378,120.0
0016.jpg,1436,811,282.0
0017.jpg,1681,1072,428.5
0018.jpg,1530,321,75.5
0019.jpg,1387,826,305.0
0020.jpg,1566,304,78.5
0021.jpg,1297,1260,489.0
0022.jpg,1240,1021,421.5
0023.jpg,1621,600,262.0
0024.jpg,1414,699,230.0
0025.jpg,1436,1133,438.0
0026.jpg,1337,735,239.0
0027.jpg,1240,1021,421.5
0028.jpg,1487,636,223.0
0029.jpg,1573,250,80.5
0030.jpg,1565,181,38.0
0031.jpg,1369,1042,364.0
0032.jpg,1573,95,31.5
0033.jpg,1541,406,112.0
0034.jpg,1514,389,106.0
0035.jpg,1559,314,98.0
0036.jpg,1443,1118,504.5
0037.jpg,1572,140,19.5
0038.jpg,1339,789,279.5
0039.jpg,1560,178,35.0
0040.jpg,1449,815,308.5
0041.jpg,1489,569,174.5
0042.jpg,1381,1050,392.0
0043.jpg,1339,789,279.5
0044.jpg,1284,1124,410.0
0045.jpg,1451,835,300.0
0046.jpg,1500,958,350.0
0047.jpg,1501,553,168.0
0048.jpg,1517,1336,500.5
0049.jpg,1530,321,75.5
0050.jpg,1552,273,76.0
0051.jpg,1560,686,255.0
0052.jpg,1374,841,282.5
0053.jpg,1449,1234,464.5
0054.jpg,1487,649,214.5
0055.jpg,1622,598,281.5
0056.jpg,1476,515,192.5
0057.jpg,1531,437,100.0
0058.jpg,1560,178,35.0
0059.jpg,1554,286,53.5
0060.jpg,1455,746,238.5
0061.jpg,1414,699,230.0
0062.jpg,1535,294,57.0
0063.jpg,1500,958,350.0
0064.jpg,1500,958,350.0
0065.jpg,1436,1001,384.0
0066.jpg,1565,227,55.0
0067.jpg,1535,352,102.5
0068.jpg,1453,818,309.0
0069.jpg,1473,564,182.0
0070.jpg,1473,564,182.0
0071.jpg,1439,733,232.0
0072.jpg,1502,375,105.5
0073.jpg,1436,1001,384.0
0074.jpg,1576,265,112.5
0075.jpg,1557,310,49.5
0076.jpg,1553,438,113.5
0077.jpg,1524,475,165.0
0078.jpg,1297,1260,489.0
0079.jpg,1530,816,339.5
0080.jpg,1622,598,281.5
0081.jpg,1451,611,206.5
0082.jpg,1449,1234,464.5
0083.jpg,1501,553,168.0
0084.jpg,1517,1336,500.5
0085.jpg,1573,95,31.5
0086.jpg,1622,598,281.5
0087.jpg,1511,1211,509.5
0088.jpg,1492,1026,377.0
0089.jpg,1339,789,279.5
0090.jpg,1502,375,105.5
0091.jpg,1240,1021,421.5
0092.jpg,1423,1002,392.0
0093.jpg,1487,649,214.5
0094.jpg,1456,1182,459.5
0095.jpg,1565,171,22.0
0096.jpg,1524,475,165.0
0097.jpg,1420,659,216.0
0098.jpg,1449,815,308.5
0099.jpg,1382,1065,429.0
0100.jpg,1572,140,19.5
0101.jpg,1535,352,102.5
0102.jpg,1457,966,356.5
0103.jpg,1502,375,105.5
0104.jpg,1569,391,166.5
0105.jpg,1539,364,75.5
0106.jpg,1472,449,126.0
0107.jpg,1414,699,230.0
0108.jpg,1622,598,281.5
0109.jpg,1575,60,9.5
0110.jpg,1443,1118,504.5
0111.jpg,1534,447,112.0
0112.jpg,1523,1172,413.0
0113.jpg,1519,462,143.5
0114.jpg,1561,244,68.5
0115.jpg,1554,456,154.0
0116.jpg,1642,1355,504.5
0117.jpg,1476,515,192.5
0118.jpg,1623,608,290.0
0119.jpg,1553,286,55.5
0120.jpg,1449,815,308.5
0121.jpg,1541,453,125.0
0122.jpg,1468,923,384.5
0123.jpg,1565,171,22.0
0124.jpg,1455,746,238.5
0125.jpg,1517,1336,500.5
0126.jpg,1495,402,131.5
0127.jpg,1622,598,281.5
0128.jpg,1436,1133,438.0
0129.jpg,1437,941,316.0
0130.jpg,1560,686,255.0
0131.jpg,1418,1132,429.5
0132.jpg,1487,649,214.5
0133.jpg,1436,1001,384.0
